"Part Number","Part Description","Product Group","Inspection Phase","Operation","Job Data Field","Material Name","Material Part Number","Material Description","Variable Name","Attribute Name","Required","Sort Order","Unit","Location","Inspection Method","Target","Lower Spec","Upper Spec","Lower Control","Upper Control","Drift Rule","Startup Required","Startup Sample Size","Startup Frequency Type","Startup Frequency","Startup Frequency Unit","Setup Required","Setup Sample Size","Setup Frequency Type","Setup Frequency","Setup Frequency Unit","In Process Required","In Process Sample Size","In Process Frequency Type","In Process Frequency","In Process Frequency Unit"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Startup","","Shift","","","","","","true","1","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Startup","","Box Number","","","","","","true","2","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Startup","","Day or Night","","","","","","false","3","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Startup","","Recorded Source","","","","","","false","4","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Setup","","Shift","","","","","","true","1","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Setup","","Box Number","","","","","","true","2","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Setup","","Day or Night","","","","","","false","3","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","Setup","","Recorded Source","","","","","","false","4","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","In Process","","Shift","","","","","","true","1","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","In Process","","Box Number","","","","","","true","2","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","In Process","","Day or Night","","","","","","false","3","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","In Process","","Recorded Source","","","","","","false","4","","","","","","","","","","","","","","","","","","","","","","","",""
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","","Overall Visual","","1","","","Visual","","","","","","SpecLimitOnly","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","","Jaw Check for Burrs and Cracking at Forms","","2","","","Visual GP37","","","","","","SpecLimitOnly","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","","Spring Clip Fully Pressed Against Jaw","","3","","","Visual GP37","","","","","","SpecLimitOnly","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Weld Pool Clearance from Contact Face","","","4","in","","Comparator FX194",".015",".015","9999","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Inside Legs Gap No Clip","","","5","in","","Caliper",".065",".055",".075","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","2","Quantity","5000","Pieces"
"70310","Schneider - Jaw, Spring, and Contact 0.187 Assy.","Schneider","","Inspection","","","","","Shear Force","","","6","lbs","","Force Gage / FX196","325","325","9999","","","WesternElectric","true","2","Event","1","StartOfJob","true","2","Event","1","ToolChange","true","3","Quantity","5000","Pieces"
